City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,San Cristobal,VE,7.7669,-72.225,72.05,77,65,2.15,broken clouds
95,San Quintin,MX,30.4833,-115.95,65.53,64,3,9.86,clear sky
96,Mantua,IT,45.1667,10.7833,63.09,72,0,4.9,clear sky
97,Castro,BR,-24.7911,-50.0119,55.65,98,97,2.26,overcast clouds
98,Kama,RU,56.3051,54.0936,43.29,81,61,6.53,broken clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,53.13,51,0,3.44,moderate rain
100,Cayenne,GF,4.9333,-52.3333,77.0,94,0,2.3,clear sky
101,Itoman,JP,26.1247,127.6694,78.82,81,75,13.8,broken clouds
102,Vaini,TO,-21.2,-175.2,72.59,83,100,9.24,overcast clouds
103,Mujiayingzi,CN,42.1167,118.7833,57.15,38,24,7.87,few clouds
104,Georgetown,MY,5.4112,100.3354,79.9,92,20,5.17,few clouds
105,Ximei,CN,24.9639,118.3794,73.2,92,100,1.32,overcast clouds
106,Andros Town,BS,24.7,-77.7667,80.08,72,81,11.81,light rain
107,Constitucion,CL,-35.3333,-72.4167,58.23,91,87,3.91,overcast clouds
108,Camocim,BR,-2.9022,-40.8411,78.62,86,66,11.32,broken clouds
109,Chuy,UY,-33.6971,-53.4616,53.87,74,39,8.88,scattered clouds
110,Bluff,NZ,-46.6,168.3333,49.8,76,89,12.06,overcast clouds
111,Saint-Georges,GD,12.0564,-61.7485,79.52,79,82,17.63,broken clouds
112,Hithadhoo,MV,-0.6,73.0833,83.68,67,89,17.58,overcast clouds
113,Tumpat,MY,6.1978,102.171,78.55,90,77,3.67,broken clouds
114,Vardo,NO,70.3705,31.1107,40.15,86,100,11.41,overcast clouds
115,Baykalsk,RU,51.5058,104.1469,39.79,70,86,6.35,overcast clouds
116,Natal,BR,-5.795,-35.2094,76.39,87,19,9.04,few clouds
117,Saint George,US,37.1041,-113.5841,99.07,8,6,1.01,clear sky
118,Bredasdorp,ZA,-34.5322,20.0403,54.28,89,5,7.49,clear sky
119,Atar,MR,20.5169,-13.0499,89.71,33,92,5.66,overcast clouds
120,Maniitsoq,GL,65.4167,-52.9,33.75,89,100,2.98,overcast clouds
121,Sechura,PE,-5.5569,-80.8222,72.52,68,63,18.54,broken clouds
